run,cold_ms,warm_mean_ms,warm_p95_ms,baseline_preprocess_mean_ms,fused_preprocess_mean_ms,preprocess_speedup_x,preprocess_max_abs_drift,output_max_abs_drift,launch_total_ms,total_pss_kib,total_rss_kib
1,0.033250,0.002658,0.002667,38.929105,13.647231,2.852528,0.000000,0.000000,4575,60548,156992
2,0.013958,0.002545,0.002750,21.260857,11.686140,1.819322,0.000000,0.000000,4036,60695,157104
3,0.011500,0.002315,0.002584,23.230263,12.460185,1.864359,0.000000,0.000000,3190,60247,156688
4,0.020083,0.002310,0.002667,25.604844,12.850200,1.992564,0.000000,0.000000,5258,60701,157088
5,0.012625,0.002312,0.002583,23.244588,12.173451,1.909449,0.000000,0.000000,3484,60717,157168
6,0.060667,0.002259,0.002458,30.244593,14.820786,2.040688,0.000000,0.000000,4001,60788,157232
7,0.035708,0.003924,0.006250,21.789849,12.292673,1.772588,0.000000,0.000000,4840,60233,156608
8,0.014709,0.002855,0.006041,21.970452,12.135276,1.810462,0.000000,0.000000,3804,60853,157232
9,0.011625,0.002335,0.002708,32.760015,11.625028,2.818059,0.000000,0.000000,3895,60642,157056
10,0.012084,0.002570,0.002625,24.581362,12.013676,2.046115,0.000000,0.000000,3246,60807,157216
