run,cold_ms,warm_mean_ms,warm_p95_ms,launch_total_ms,total_pss_kib,total_rss_kib
1,0.009654,0.006401,0.004846,890,104157,192265
2,0.008923,0.003252,0.004538,885,111129,201622
3,0.033885,0.013215,0.011616,967,105116,195865
4,0.009231,0.003187,0.003385,909,105449,194942
5,0.009885,0.003190,0.003346,753,103109,195052
6,0.009308,0.003172,0.003346,702,102518,193361
7,0.014692,0.003202,0.003346,725,109624,203022
8,0.009038,0.003188,0.003308,963,105606,196113
9,0.012154,0.018636,0.006769,595,104526,196221
10,0.008961,0.003199,0.003654,704,109408,200438
